time	Freq	W	B2	B1
2022-04-20, 15:37:12	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:14	1500 Hz	16 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:16	1500 Hz	16 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:18	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:20	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:22	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:24	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:26	1500 Hz	16 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:28	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:30	1500 Hz	16 W	5,2E-6 mbar	1,5E-4 mbar
